,ID,P_ID,LABEL_NAME,LABEL_ICON,LEVEL,SORT,CREATOR,CREATE_TIME,UPDATER,UPDATE_TIME,IN_USE
178,938,1,Btctrade,,1,,,,,,TRUE
179,944,1,Usecryptos,,1,,,,,,TRUE
180,950,1,Zyado,,1,,,,,,TRUE
181,956,1,Localbitcoins,,1,,,,,,TRUE
182,958,1,Litebit,,1,,,,,,TRUE
183,968,1,Virwox,,1,,,,,,TRUE
184,970,1,Maicoin,,1,,,,,,TRUE
185,972,1,Therocktrading,,1,,,,,,TRUE
186,976,1,Crypopay,,1,,,,,,TRUE
187,978,1,Campbx,,1,,,,,,TRUE
188,980,1,Btc38,,1,,,,,,TRUE
189,984,1,Cryptsy,,1,,,,,,TRUE
190,998,1,Ccedk,,1,,,,,,TRUE
191,1002,1,Coinbroker,,1,,,,,,TRUE
192,1004,1,Exchanging,,1,,,,,,TRUE
193,1014,1,Orderbook,,1,,,,,,TRUE
194,1030,1,Bitcoin,,1,,,,,,TRUE
195,1036,1,Bitflyer,/labelicon/second/Bitflyer.png,1,,,,,,TRUE
196,1038,1,Bitbargain,,1,,,,,,TRUE
197,1042,1,Cryptonit,,1,,,,,,TRUE
198,1050,1,Lakebtc,,1,,,,,,TRUE
199,1066,1,Clevercoin,,1,,,,,,TRUE
200,1077,1,C-cex,,1,,,,,,TRUE
201,1087,1,Banx,,1,,,,,,TRUE
202,1091,1,Okcoin,/labelicon/second/Okcoin.png,1,,,,,,TRUE
203,1107,1,Simplecoin,,1,,,,,,TRUE
204,1109,1,Fybsg,,1,,,,,,TRUE
205,1119,1,Uniccshop.mn,,1,,,,,,TRUE
206,1135,1,Coingi,/labelicon/second/Coingi.png,1,,,,,,TRUE
207,1141,1,Spectrocoin,,1,,,,,,TRUE
208,1143,1,Quadrigacx,,1,,,,,,TRUE
209,1159,1,Hb.top,,1,,,,,,TRUE
210,1169,1,Yobit,/labelicon/second/Yobit.png,1,,,,,,TRUE
211,1175,1,Coinspot,,1,,,,,,TRUE
212,1177,1,Vaultoro,,1,,,,,,TRUE
213,1181,1,Igot,,1,,,,,,TRUE
214,1185,1,Btc-e,,1,,,,,,TRUE
215,1187,1,Bter,,1,,,,,,TRUE
216,1195,1,Bitkonan,,1,,,,,,TRUE
217,1199,1,Foxbit,,1,,,,,,TRUE
218,1215,1,Coinchimp,,1,,,,,,TRUE
219,1219,1,Bitvc,,1,,,,,,TRUE
220,1225,1,Deribit,/labelicon/second/Deribit.png,1,,,,,,TRUE
221,1233,1,Bit-x,,1,,,,,,TRUE
222,1237,1,Hashnest,,1,,,,,,TRUE
223,1239,1,Matbea,,1,,,,,,TRUE
224,1249,1,Bitbay,,1,,,,,,TRUE
225,1257,1,Btcmarkets,,1,,,,,,TRUE
226,1267,1,Uphold,,1,,,,,,TRUE
227,1269,1,Vircurex,,1,,,,,,TRUE
228,1287,1,Bleutrade,/labelicon/second/Bleutrade.png,1,,,,,,TRUE
229,1291,1,Btcc,,1,,,,,,TRUE
230,1319,1,Cointiger,/labelicon/second/Cointiger.png,1,,,,,,TRUE
231,1335,1,Paxful,,1,,,,,,TRUE
232,1339,1,Btradeaustralia,,1,,,,,,TRUE
233,1351,1,Mexc.com,,1,,,,,,TRUE
234,1353,1,Bitkeep,,1,,,,,,TRUE
235,1357,1,Bitdiamond,,1,,,,,,TRUE
