,ID,P_ID,LABEL_NAME,LABEL_ICON,LEVEL,SORT,CREATOR,CREATE_TIME,UPDATER,UPDATE_TIME,IN_USE
208,1143,1,Quadrigacx,/labelicon/second/Quadrigacx.png,1,,,,,,True
209,1159,1,Hb.top,,1,,,,,,True
210,1169,1,Yobit,/labelicon/second/Yobit.png,1,,,,,,True
211,1175,1,Coinspot,/labelicon/second/Coinspot.png,1,,,,,,True
212,1177,1,Vaultoro,,1,,,,,,True
213,1181,1,Igot,,1,,,,,,True
214,1185,1,Btc-e,,1,,,,,,True
215,1187,1,Bter,,1,,,,,,True
216,1195,1,Bitkonan,/labelicon/second/Bitkonan.png,1,,,,,,True
217,1199,1,Foxbit,/labelicon/second/Foxbit.png,1,,,,,,True
218,1215,1,Coinchimp,,1,,,,,,True
219,1219,1,Bitvc,,1,,,,,,True
220,1225,1,Deribit,/labelicon/second/Deribit.png,1,,,,,,True
221,1233,1,Bit-x,/labelicon/second/Bit-x.png,1,,,,,,True
222,1237,1,Hashnest,,1,,,,,,True
223,1239,1,Matbea,,1,,,,,,True
224,1249,1,Bitbay,/labelicon/second/Bitbay.png,1,,,,,,True
225,1257,1,Btcmarkets,,1,,,,,,True
226,1267,1,Uphold,,1,,,,,,True
227,1269,1,Vircurex,,1,,,,,,True
228,1287,1,Bleutrade,/labelicon/second/Bleutrade.png,1,,,,,,True
229,1291,1,Btcc,/labelicon/second/Btcc.png,1,,,,,,True
230,1319,1,Cointiger,/labelicon/second/Cointiger.png,1,,,,,,True
231,1335,1,Paxful,,1,,,,,,True
232,1339,1,Btradeaustralia,,1,,,,,,True
233,1351,1,Mexc.com,,1,,,,,,True
234,1353,1,Bitkeep,,1,,,,,,True
235,1357,1,Bitdiamond,,1,,,,,,True
